Region,2015,2016,2017,2018,2019,2020,2021
Dolnośląskie,7482,6779,7253,7616,7948,7830,7725
Kujawsko-pomorskie,4854,4984,5083,5302,5046,5067,5121
Lubelskie,4038,3574,3989,3922,4231,4269,4274
Lubuskie,2743,2475,2560,2524,2783,2869,2660
Mazowieckie,16389,15600,17574,17677,17243,18308,18014
Małopolskie,9380,8739,9451,9783,9856,10385,10081
Opolskie,2383,2155,2300,2491,2529,2423,2242
Podkarpackie,4966,4760,4786,4917,5115,5681,4791
Podlaskie,2369,2207,2428,2484,2353,2532,2680
Pomorskie,6605,6089,6575,6642,6700,7154,7007
Warmińsko-mazurskie,2903,2807,2926,2865,3005,2923,2868
Wielkopolskie,11286,10578,11977,11722,12598,12177,12214
Zachodniopomorskie,4106,3905,4120,4269,4230,4337,4055
Łódzkie,6694,6353,6529,6483,6566,6626,6749
Śląskie,13014,12569,13276,12365,13196,13480,13450
Świętokrzyskie,2495,2393,2641,2436,2669,2672,2606
